,Año,Trimestre,Provincia,hasta 512kb,512Kb a 1Mb,1Mb a 6Mb,6Mb a 10Mb,10Mb a 20Mb,20Mb a 30Mb,mas de 30Mb,Otros,Total
0,2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,2628,4555424
1,2022,1,Capital Federal,5270,5575,39918,7739,61053,43289,1188072,1717,1417541
2,2022,1,Catamarca,710,4560,4386,7009,8773,3761,35715,2207,62378
3,2022,1,Chaco,4610,1099,16888,21235,20898,13012,62946,758,144119
4,2022,1,Chubut,1130,1677,61369,31856,3308,13871,14055,15607,171628
5,2022,1,Córdoba,1000,12782,165922,126009,73967,34892,577027,13104,1003803
6,2022,1,Corrientes,670,4029,24563,25665,27077,10452,43631,7094,142578
7,2022,1,Entre Ríos,1070,5745,50075,4962,42294,21578,81757,1675,267926
8,2022,1,Formosa,970,4480,24113,6945,6613,7160,15028,5880,54548
9,2022,1,Jujuy,580,1761,22141,16321,37923,5760,35287,2442,116509
10,2022,1,La Pampa,3010,2223,62812,9869,12044,525,14400,2833,109732
11,2022,1,La Rioja,180,7780,3576,4692,23624,5645,45970,0,84303
12,2022,1,Mendoza,1140,3355,51230,26407,74178,21566,95048,3287,275185
13,2022,1,Misiones,510,3873,35655,22261,26855,15854,58610,8349,171508
14,2022,1,Neuquén,1370,1123,39856,15623,11163,2654,71238,7885,149679
15,2022,1,Río Negro,1160,1383,35565,18859,26926,14144,37729,22652,157374
16,2022,1,Salta,1140,1725,35576,68246,6313,2214,76838,6489,197515
17,2022,1,San Juan,260,2269,32356,11914,25144,2088,11916,2465,88178
18,2022,1,San Luis,610,6430,8287,3837,9802,68612,13,28589,119844
19,2022,1,Santa Cruz,510,6898,12710,11502,12277,2628,2551,4850,49102
20,2022,1,Santa Fe,4680,12435,143796,208361,84787,58018,344170,18444,870479
21,2022,1,Santiago Del Estero,1780,1401,30220,6117,13542,8490,8309,7920,116461
22,2022,1,Tierra Del Fuego,240,8940,12849,1564,18034,1767,982,2421,52611
23,2022,1,Tucumán,390,2212,36028,46961,21014,5211,133846,2730,245584
24,2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157
25,2021,4,Capital Federal,5630,1695,47133,81899,66135,66755,1147939,0,1412119
26,2021,4,Catamarca,710,0,6038,7855,9804,3262,29827,2233,59090
27,2021,4,Chaco,4610,1120,18845,22678,21937,13692,58435,7585,143745
28,2021,4,Chubut,1260,1294,63698,39568,31175,578,2904,15763,160308
29,2021,4,Córdoba,1000,2479,184548,130892,76246,41198,538700,12607,986770
30,2021,4,Corrientes,670,6450,28830,26368,22922,10087,39911,7082,135912
31,2021,4,Entre Ríos,1070,3024,56043,49636,38295,24068,77290,16583,265046
32,2021,4,Formosa,840,0,22908,6983,6811,1135,13775,1967,53663
33,2021,4,Jujuy,580,1750,22446,16793,38134,5640,33421,2324,113915
34,2021,4,La Pampa,3010,4930,64840,9082,12259,4821,12184,3027,107007
35,2021,4,La Rioja,180,10,5018,5437,23559,5671,43424,0,83128
36,2021,4,Mendoza,1560,1463,66428,30308,75214,18621,75031,3660,267587
37,2021,4,Misiones,510,50,41916,23554,26721,15954,54596,8335,171132
38,2021,4,Neuquén,1400,9400,42313,13264,10515,331,69217,7767,147466
39,2021,4,Río Negro,1560,1174,38373,19878,31255,413,36142,22645,153753
40,2021,4,Salta,1140,200,40673,69324,6642,3535,72622,6475,199405
41,2021,4,San Juan,440,1442,28906,10955,23978,3980,9800,4435,79958
42,2021,4,San Luis,620,2640,8550,4276,9107,67363,9,29218,118849
43,2021,4,Santa Cruz,520,2970,20305,11641,13054,177,876,4910,48486
44,2021,4,Santa Fe,4670,5810,169706,206856,8569,62349,322015,18777,866441
45,2021,4,Santiago Del Estero,1780,9090,31915,61524,12205,8000,7537,7930,115861
46,2021,4,Tierra Del Fuego,260,3850,13505,16534,16562,1748,1017,258,52357
47,2021,4,Tucumán,390,970,37321,48736,21023,5326,125857,2400,238639
48,2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609
49,2021,3,Capital Federal,2950,6030,156978,67013,39785,73502,1075229,0,1413405
50,2021,3,Catamarca,710,0,6755,8428,10517,1659,26618,2206,56254
51,2021,3,Chaco,3010,1120,22545,20986,23852,14412,49705,7958,139871
52,2021,3,Chubut,1040,1050,89168,26281,18538,532,1643,14907,156066
53,2021,3,Córdoba,990,2452,204989,141285,6505,47198,476459,9256,946788
54,2021,3,Corrientes,670,6450,29629,28478,24792,9687,35468,5053,133819
55,2021,3,Entre Ríos,1070,3024,61354,59776,39114,16284,67961,12755,260375
56,2021,3,Formosa,3810,0,22778,7142,6978,1192,12707,1617,52795
57,2021,3,Jujuy,480,1750,23884,16417,37755,5610,29917,2401,111158
58,2021,3,La Pampa,2980,3130,65063,7395,8737,4023,10506,4152,100487
59,2021,3,La Rioja,180,10,5366,5979,23315,4868,42613,0,82160
60,2021,3,Mendoza,360,310,151871,1264,62628,7596,21087,500,255939
